nume,prenume,email,telefon,numejudet,numeoras,strada,apartament,parola
pal,teodor,td.ema,00000,dambovita,targoviste,Ibanesti,2,parolapaladi28
 ,teodor,td.ema.yahoo.com,00000,dambovita,targoviste,Ibanesti,2,parolapaladi28
pal,  ,td.ema@gmail.ro,00000,dambovita,targoviste,Ibanesti,2,parolapaladi28
pal,teodor, ,00000,dambovita,targoviste,Ibanesti,2,parolapaladi28
pal,teodor,td.ema@000.com,0,dambovita,targoviste,Ibanesti,2,parolapaladi28
paladi,teodor,teodor.paladi@yahoo.com,00000, ,targoviste,Ibanesti,2,parolapaladi28
pal,teodor,td.ema@yahoo.com,00000,dambovita, ,Ibanesti,2,parolapaladi28
pal,teodor,teodor.paladi@yahoo.com,00000,dambovita,targoviste,Ibanesti,2,parolapaladi28
pal,teodor,tteodor.paladi@yahoo.com,00000,dambovita,targoviste, ,2,parolapaladi28
pal,teodor,tteodor.paladi@yahoo.com,00000,dambovita,targoviste,Ibanesti,2,parolapaladi28
pal,teodor,teodor.paladi@yahoo.com,00000,dambovita,targoviste,Ibanesti,1000000,28
paladi,teodor,teodor.paladi@yahoo.com,00000,dambovita,targoviste,Ibanesti,0,pa
sarim,povre,sarim.povre@gmail.it,402335688552,craiova,cracovia,none,0,formepass
